hold_id,inventory_id,user_id,units,idempotency_key,created_at,expires_at,released_at,booking_id,status,updated_at
hld_cbe1c9ce,inv_fd6be2a8,usr_05a65b61,2,hidem_a2947ea2fa79afd3,2026-08-11T11:00:00+05:30,2026-08-11T11:15:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_6b6ec9aa,inv_f75d9426,usr_bbacab51,2,hidem_1e68d4c2a64eb349,2026-08-11T17:15:00+05:30,2026-08-11T17:25:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_b5d70c44,inv_619abf0f,usr_5df12eea,2,hidem_5666e3e0b0ee9bb8,2026-08-16T23:30:00+05:30,2026-08-16T23:40:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_865d95fb,inv_80deadd0,usr_7df097f0,2,hidem_3c96d4981a288b13,2026-08-14T05:30:00+05:30,2026-08-14T05:40:00+05:30,2026-08-14T05:47:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_77795b45,inv_1697390d,usr_e4376908,2,hidem_cec31583ea5369fe,2026-08-14T03:45:00+05:30,2026-08-14T04:05:00+05:30,,bkg_b76bf57e,confirmed,2026-08-18T10:00:00+05:30
hld_09e0da54,inv_2b7526f3,usr_865c98a2,2,hidem_711135e66903da88,2026-08-11T08:45:00+05:30,2026-08-11T09:00:00+05:30,,bkg_9c16e4b3,confirmed,2026-08-18T10:00:00+05:30
hld_92cebe7b,inv_fd26f762,usr_5e9a11a1,1,hidem_c42e4b03b31023fe,2026-08-12T07:45:00+05:30,2026-08-12T07:55:00+05:30,2026-08-12T08:02:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_df14dbf0,inv_957846d7,usr_ad6891c1,1,hidem_418731d74178982f,2026-08-12T01:45:00+05:30,2026-08-12T02:05:00+05:30,,bkg_f5499d89,confirmed,2026-08-18T10:00:00+05:30
hld_75d19107,inv_baf37a25,usr_47d7ab5a,1,hidem_e09e0eb0c9418826,2026-08-14T13:30:00+05:30,2026-08-14T13:40:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_859b7b15,inv_d22431c2,usr_8d2c2759,2,hidem_2fea0ed8ed197fc0,2026-08-10T12:30:00+05:30,2026-08-10T12:50:00+05:30,2026-08-10T12:47:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_8443ace0,inv_b824bdac,usr_e5fe70f7,2,hidem_7c763d0eff911158,2026-08-13T00:45:00+05:30,2026-08-13T01:00:00+05:30,,bkg_70bfc400,confirmed,2026-08-18T10:00:00+05:30
hld_271a4346,inv_da4601ca,usr_8180c222,2,hidem_5f24b880050ab363,2026-08-14T11:15:00+05:30,2026-08-14T11:35:00+05:30,,bkg_fad5f20d,confirmed,2026-08-18T10:00:00+05:30
hld_6e8dab97,inv_14d1052f,usr_8f81432c,1,hidem_00c88c8fb0c06207,2026-08-15T10:00:00+05:30,2026-08-15T10:20:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_7a0afbd7,inv_36a15299,usr_51b72a64,1,hidem_d42308c6346f9dc3,2026-08-15T05:45:00+05:30,2026-08-15T05:55:00+05:30,2026-08-15T06:02:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_a4612db9,inv_bae42dfe,usr_d3acd59c,1,hidem_05dc6c23f7309eb1,2026-08-13T07:45:00+05:30,2026-08-13T08:05:00+05:30,2026-08-13T08:02:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_5938dc23,inv_34f4cf88,usr_c535ee88,1,hidem_a8a77446d9f30bac,2026-08-15T23:45:00+05:30,2026-08-15T23:55:00+05:30,,bkg_a7f0c285,confirmed,2026-08-18T10:00:00+05:30
hld_9e762b56,inv_43ae8e91,usr_31078309,2,hidem_89c10c372cdf1643,2026-08-11T20:00:00+05:30,2026-08-11T20:15:00+05:30,2026-08-11T20:17:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_a4e6ee86,inv_29ab448b,usr_d9d2bfaa,2,hidem_c6290a963d58b262,2026-08-12T02:30:00+05:30,2026-08-12T02:50:00+05:30,,bkg_ae027d4a,confirmed,2026-08-18T10:00:00+05:30
hld_bc7ed21b,inv_5cfe8396,usr_1dc66e29,1,hidem_4aaaf11fe3879bd2,2026-08-11T22:30:00+05:30,2026-08-11T22:45:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_0169541c,inv_1a67f49d,usr_d6801dce,1,hidem_df91eccc51b66bd9,2026-08-11T05:15:00+05:30,2026-08-11T05:25:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_be5b82ba,inv_c8a1c344,usr_f94b3139,1,hidem_da3ebe484e2d193a,2026-08-15T07:15:00+05:30,2026-08-15T07:35:00+05:30,,bkg_18e798de,confirmed,2026-08-18T10:00:00+05:30
hld_97b0be40,inv_6e98bc8e,usr_dc1bd238,2,hidem_139ea0808d02a6f1,2026-08-17T18:45:00+05:30,2026-08-17T19:05:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_4c33153b,inv_d56f6c3d,usr_cd45f751,1,hidem_ff9639ee2eaa7c19,2026-08-11T18:30:00+05:30,2026-08-11T18:45:00+05:30,2026-08-11T18:47:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_45d8e326,inv_f22fb2be,usr_6e20f92e,2,hidem_b920f46b3442ba77,2026-08-11T20:00:00+05:30,2026-08-11T20:10:00+05:30,2026-08-11T20:17:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_0a0c54b0,inv_b704fff7,usr_4caa1cc0,2,hidem_e131b76ba7d2be97,2026-08-10T10:15:00+05:30,2026-08-10T10:30:00+05:30,,bkg_13dfd28b,confirmed,2026-08-18T10:00:00+05:30
hld_7da1d1e0,inv_c2ff19da,usr_f4dd99d0,2,hidem_903ced8ffe3d5c2b,2026-08-10T01:00:00+05:30,2026-08-10T01:20:00+05:30,2026-08-10T01:17:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_af156cb4,inv_e5fca699,usr_b829ab46,2,hidem_f62168d3b1f51d12,2026-08-17T03:00:00+05:30,2026-08-17T03:20:00+05:30,,bkg_f2845b85,confirmed,2026-08-18T10:00:00+05:30
hld_ca876484,inv_f6ed92e9,usr_ea269383,1,hidem_f55bb6e2a99a7fb1,2026-08-17T05:45:00+05:30,2026-08-17T05:55:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_89c18737,inv_5c216309,usr_8317ab30,2,hidem_2b40c43913cdde20,2026-08-10T09:00:00+05:30,2026-08-10T09:10:00+05:30,2026-08-10T09:17:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_104ed562,inv_40435dfa,usr_590caf04,1,hidem_b512c938a41a6ebf,2026-08-14T15:15:00+05:30,2026-08-14T15:30:00+05:30,,bkg_4857722b,confirmed,2026-08-18T10:00:00+05:30
hld_0bdd6400,inv_f27bfdb7,usr_7df097f0,1,hidem_c4858fb32934a6c5,2026-08-17T02:45:00+05:30,2026-08-17T03:05:00+05:30,2026-08-17T03:02:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_cac447dd,inv_98428f07,usr_9c898903,2,hidem_21d64101468bf941,2026-08-12T23:00:00+05:30,2026-08-12T23:15:00+05:30,,bkg_05e443f8,confirmed,2026-08-18T10:00:00+05:30
hld_57cfa8de,inv_cfc0a2a1,usr_48f9bd76,1,hidem_aef7b7d0e5a492cd,2026-08-12T10:15:00+05:30,2026-08-12T10:25:00+05:30,2026-08-12T10:32:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_518ac0b8,inv_50162f90,usr_2dd33665,2,hidem_8df213feb23b376a,2026-08-10T01:30:00+05:30,2026-08-10T01:45:00+05:30,2026-08-10T01:47:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_70a368b1,inv_7ec1bd7d,usr_e0853a17,1,hidem_519ae34b7125acbe,2026-08-14T04:00:00+05:30,2026-08-14T04:15:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_b712cfd8,inv_2e17a8f8,usr_01d12bc2,1,hidem_743d9a4a797f0c82,2026-08-13T20:30:00+05:30,2026-08-13T20:45:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_371a6165,inv_43be13dd,usr_948a58de,2,hidem_595f16ab6e4ea010,2026-08-16T03:00:00+05:30,2026-08-16T03:10:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_399ecc02,inv_eb1f98fb,usr_ab568dcf,2,hidem_be3acc285413ad5a,2026-08-12T17:00:00+05:30,2026-08-12T17:15:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_a8579649,inv_242e4d90,usr_9e6dc4d3,1,hidem_e375d373a83a128c,2026-08-11T19:15:00+05:30,2026-08-11T19:30:00+05:30,,bkg_33dc08ed,confirmed,2026-08-18T10:00:00+05:30
hld_420a6229,inv_75f2ffd9,usr_4f00071d,1,hidem_51be0781d0029f51,2026-08-14T22:45:00+05:30,2026-08-14T23:00:00+05:30,2026-08-14T23:02:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_d6b278ae,inv_ddcdeae5,usr_f94b3139,2,hidem_073142f06e675330,2026-08-11T18:30:00+05:30,2026-08-11T18:45:00+05:30,,bkg_9613b8f9,confirmed,2026-08-18T10:00:00+05:30
hld_945a1efe,inv_182d959a,usr_ae3758b7,1,hidem_1c5df6dcf4f768b5,2026-08-12T23:15:00+05:30,2026-08-12T23:30:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_7511927e,inv_344f3463,usr_1805266d,2,hidem_94860ad507826e7e,2026-08-11T15:30:00+05:30,2026-08-11T15:45:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_2fe660f8,inv_ce2cdd16,usr_18260fc4,2,hidem_98be002e9cd1b166,2026-08-14T21:00:00+05:30,2026-08-14T21:15:00+05:30,2026-08-14T21:17:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_a98bf09f,inv_3f2af57e,usr_96700977,1,hidem_3ca65815b1c89890,2026-08-14T10:15:00+05:30,2026-08-14T10:35:00+05:30,2026-08-14T10:32:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_68c53864,inv_9a6cbe18,usr_bcc051ad,2,hidem_df39b59ad12e1451,2026-08-15T08:30:00+05:30,2026-08-15T08:45:00+05:30,2026-08-15T08:47:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_4f7eac08,inv_8b64faed,usr_4bf78f59,1,hidem_94110d7d87896142,2026-08-10T02:45:00+05:30,2026-08-10T03:05:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_4856553b,inv_cf410677,usr_c24f45f3,1,hidem_491518cf0600e30c,2026-08-16T21:30:00+05:30,2026-08-16T21:45:00+05:30,2026-08-16T21:47:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_ab892a92,inv_9172d802,usr_8479a3e5,1,hidem_423c806273a64e57,2026-08-10T07:15:00+05:30,2026-08-10T07:30:00+05:30,2026-08-10T07:32:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_cfbf67c8,inv_a4a107a9,usr_de5d9e34,2,hidem_7e7e807c1df8a36c,2026-08-10T22:15:00+05:30,2026-08-10T22:35:00+05:30,,bkg_a662b84a,confirmed,2026-08-18T10:00:00+05:30
hld_cf3b4170,inv_e71eeba5,usr_c535ee88,2,hidem_1cdc07e71e8dde03,2026-08-12T20:15:00+05:30,2026-08-12T20:35:00+05:30,2026-08-12T20:32:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_ccc6dc6a,inv_35518734,usr_20ea4b19,2,hidem_5c544043897b411c,2026-08-13T14:45:00+05:30,2026-08-13T15:05:00+05:30,,bkg_c74a6666,confirmed,2026-08-18T10:00:00+05:30
hld_2d071163,inv_d7893029,usr_8452201e,1,hidem_94f8c5f6f80d9a4f,2026-08-10T10:00:00+05:30,2026-08-10T10:15:00+05:30,,bkg_e2f8df81,confirmed,2026-08-18T10:00:00+05:30
hld_85593bc0,inv_451fc640,usr_63f4e9fd,2,hidem_2641df820de54c13,2026-08-14T14:45:00+05:30,2026-08-14T15:05:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_8f072aca,inv_55909972,usr_fd8f7b49,1,hidem_ee512bcc4450a58a,2026-08-17T00:00:00+05:30,2026-08-17T00:10:00+05:30,,bkg_8f59e4ba,confirmed,2026-08-18T10:00:00+05:30
hld_c72f2530,inv_405a7deb,usr_b0cd91cf,2,hidem_e246551066fa7167,2026-08-13T14:30:00+05:30,2026-08-13T14:40:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_a4515008,inv_2c8e96a1,usr_cfc145a0,2,hidem_e7af1ded7205eda8,2026-08-16T06:00:00+05:30,2026-08-16T06:10:00+05:30,2026-08-16T06:17:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_5e47523a,inv_48450e0c,usr_9bf04990,2,hidem_cfcc3fc8cec80668,2026-08-12T17:15:00+05:30,2026-08-12T17:25:00+05:30,2026-08-12T17:32:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_d7030ceb,inv_e1b194b1,usr_c8025f92,1,hidem_aa0ced2ab8f2fb25,2026-08-13T09:15:00+05:30,2026-08-13T09:35:00+05:30,,bkg_da6f37fb,confirmed,2026-08-18T10:00:00+05:30
hld_8a83244c,inv_4c390f8a,usr_cb58a9e1,1,hidem_b5c4c3e95e1ee1e5,2026-08-10T06:00:00+05:30,2026-08-10T06:20:00+05:30,2026-08-10T06:17:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_0ceb423a,inv_edc21387,usr_52257a0a,2,hidem_02991d9da93c9fc8,2026-08-14T09:15:00+05:30,2026-08-14T09:30:00+05:30,2026-08-14T09:32:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_256a2247,inv_e5d53f49,usr_9c3deed5,1,hidem_61b281dafa39fcc3,2026-08-15T01:00:00+05:30,2026-08-15T01:15:00+05:30,,bkg_a7015bda,confirmed,2026-08-18T10:00:00+05:30
hld_e8702f94,inv_88826dac,usr_991a1e29,1,hidem_f940c1093c0a3a62,2026-08-13T11:30:00+05:30,2026-08-13T11:50:00+05:30,2026-08-13T11:47:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_f96eb194,inv_c3f18b44,usr_32ad88b8,2,hidem_a60c1cb12ff080b7,2026-08-17T05:00:00+05:30,2026-08-17T05:15:00+05:30,2026-08-17T05:17:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_7e5656ab,inv_3ad55aa5,usr_aa216995,2,hidem_014b2adb2e535705,2026-08-17T04:30:00+05:30,2026-08-17T04:50:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_c6d8d9f8,inv_2cdb6751,usr_045378e4,2,hidem_ff6407a9e835bea8,2026-08-10T00:15:00+05:30,2026-08-10T00:25:00+05:30,2026-08-10T00:32:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_10ed30bd,inv_545541c2,usr_4420259c,1,hidem_c92e127b16b10199,2026-08-10T23:15:00+05:30,2026-08-10T23:25:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_6287a567,inv_8c10ce55,usr_44ef2e9c,1,hidem_377c4be2a7f681f3,2026-08-16T13:00:00+05:30,2026-08-16T13:20:00+05:30,,bkg_40717fe7,confirmed,2026-08-18T10:00:00+05:30
hld_808808f5,inv_c8a1c344,usr_701b0010,1,hidem_6cd5842128500cd1,2026-08-14T07:30:00+05:30,2026-08-14T07:50:00+05:30,,bkg_d0de1937,confirmed,2026-08-18T10:00:00+05:30
hld_56384bdd,inv_6593f956,usr_ef82139e,2,hidem_bded5d97b657ca37,2026-08-10T22:30:00+05:30,2026-08-10T22:45:00+05:30,,bkg_45e6c074,confirmed,2026-08-18T10:00:00+05:30
hld_6139f4db,inv_facfdfa3,usr_3b70ae01,1,hidem_22657dd45c57b1bb,2026-08-10T19:00:00+05:30,2026-08-10T19:20:00+05:30,,bkg_e1947f5e,confirmed,2026-08-18T10:00:00+05:30
hld_55283956,inv_33c9dcb0,usr_050830ac,1,hidem_1d369b9e931d369b,2026-08-14T05:15:00+05:30,2026-08-14T05:30:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_95bcb991,inv_70c587c5,usr_e0853a17,1,hidem_8cc04676933a6ee9,2026-08-12T04:15:00+05:30,2026-08-12T04:30:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_5db107e1,inv_228322d5,usr_3038e2f7,2,hidem_90a263dd98abd1e6,2026-08-13T04:15:00+05:30,2026-08-13T04:25:00+05:30,,bkg_7df09cdd,confirmed,2026-08-18T10:00:00+05:30
hld_14ad1f68,inv_561da484,usr_e99f58c3,1,hidem_0bef855781356fe2,2026-08-15T16:30:00+05:30,2026-08-15T16:45:00+05:30,2026-08-15T16:47:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_59be03da,inv_8ca08927,usr_68f38693,1,hidem_aca91a609f25952d,2026-08-16T15:45:00+05:30,2026-08-16T16:00:00+05:30,2026-08-16T16:02:00+05:30,,released,2026-08-18T10:00:00+05:30
hld_50e18727,inv_d9684b09,usr_3c2f4109,2,hidem_bad93e343a82e023,2026-08-11T20:15:00+05:30,2026-08-11T20:30:00+05:30,,bkg_50f7bfa7,confirmed,2026-08-18T10:00:00+05:30
hld_4b923d3a,inv_0bc87dec,usr_dc032205,2,hidem_8c4db02e7dfd43c0,2026-08-13T13:45:00+05:30,2026-08-13T14:00:00+05:30,,bkg_59637645,confirmed,2026-08-18T10:00:00+05:30
hld_17590ed8,inv_4b5caa9a,usr_8f0039c0,1,hidem_06de55286b67f79c,2026-08-10T16:00:00+05:30,2026-08-10T16:20:00+05:30,2026-08-10T16:17:00+05:30,,expired,2026-08-18T10:00:00+05:30
hld_089b579c,inv_9e65e2c3,usr_b0cd91cf,1,hidem_1ef9d61952ac97e3,2026-08-13T01:30:00+05:30,2026-08-13T01:45:00+05:30,,bkg_cfe06f0c,confirmed,2026-08-18T10:00:00+05:30
hld_1194d356,inv_5dadfd2f,usr_c426b4e1,1,hidem_12090891d9371ea7,2026-08-16T04:30:00+05:30,2026-08-16T04:50:00+05:30,,bkg_b8fac971,confirmed,2026-08-18T10:00:00+05:30
hld_87290403,inv_f92856b5,usr_969a0636,2,hidem_9a35b16c7c1dcf9e,2026-08-16T11:45:00+05:30,2026-08-16T12:05:00+05:30,,bkg_37599184,confirmed,2026-08-18T10:00:00+05:30
hld_a6ca4aa8,inv_404071c9,usr_f9060fbb,1,hidem_0a930913785818ed,2026-08-14T05:45:00+05:30,2026-08-14T06:00:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_20e9ec02,inv_4dfce743,usr_3e6ed8be,2,hidem_28c02cf9ac538a3a,2026-08-12T18:45:00+05:30,2026-08-12T19:00:00+05:30,,,active,2026-08-18T10:00:00+05:30
hld_b4565469,inv_a8583ddb,usr_4dee7364,1,hidem_829aa49fecb62b2b,2026-08-17T13:15:00+05:30,2026-08-17T13:30:00+05:30,,bkg_508e0ba8,confirmed,2026-08-18T10:00:00+05:30
hld_a310bb66,inv_54732cdb,usr_b8c5bfe0,1,hidem_65558589d2e0cfc1,2026-08-15T05:45:00+05:30,2026-08-15T05:55:00+05:30,2026-08-15T06:02:00+05:30,,released,2026-08-18T10:00:00+05:30
