airport_id,iata,icao,name,city_id,lat,lng,timezone,is_international,updated_at
apt_a7ea97c3,AHM,VAHM,Ahmedabad International Airport,cty_cfec17b6,22.86259,72.662639,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_fb1d485e,BHU,VBHU,Bhuj International Airport,cty_caf3c1ee,23.201195,69.765871,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_38564e0e,PAN,VPAN,Panaji International Airport,cty_43d0a650,15.342552,73.740703,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_05897d58,BEN,VBEN,Bengaluru International Airport,cty_17b8ef2f,12.965297,77.610522,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_3aac75c3,MYS,VMYS,Mysuru International Airport,cty_8fc1539e,12.143385,76.736828,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_058f4de3,HAM,VHAM,Hampi International Airport,cty_bbb31d67,15.433837,76.417438,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_bc251bfc,GOK,VGOK,Gokarna International Airport,cty_a97c33ad,14.413348,74.290811,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_3810f0b5,CHE,VCHE,Chennai International Airport,cty_f8b75f8e,13.090462,80.177684,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_ded708a1,MAD,VMAD,Madurai International Airport,cty_3503e391,10.029801,78.197774,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_2d08d23b,OOT,VOOT,Ooty International Airport,cty_7fc82336,11.43418,76.704287,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_4659182d,PON,VPON,Pondicherry International Airport,cty_f288c6a0,11.766986,79.692266,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_3fedcbed,THA,VTHA,Thanjavur International Airport,cty_7f673457,10.86137,79.065114,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_30500fc8,KOC,VKOC,Kochi International Airport,cty_8b6b1652,9.810306,76.206434,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_150ec39e,ALL,VALL,Alleppey International Airport,cty_34bbfdfe,9.521568,76.377686,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_af6e8cb7,MUN,VMUN,Munnar International Airport,cty_d401ef6b,10.205899,76.957552,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_3298326a,THI,VTHI,Thiruvananthapuram International Airport,cty_67ee7f6f,8.669244,76.799588,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_45d88f83,WAY,VWAY,Wayanad International Airport,cty_541018a9,11.625697,75.991388,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_5835fac1,HYD,VHYD,Hyderabad International Airport,cty_718f03c7,17.371165,78.448836,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_6ddc2fb6,VIS,VVIS,Visakhapatnam International Airport,cty_7cb0b529,17.838347,83.316671,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_1a66f7af,TIR,VTIR,Tirupati International Airport,cty_d4f5e3a5,13.514923,79.519687,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_2d4c99ed,KOL,VKOL,Kolkata International Airport,cty_ab50efee,22.622763,88.302327,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_7d3f1c5f,DAR,VDAR,Darjeeling International Airport,cty_c43cfa94,27.09432,88.165121,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_743a4a26,PUR,VPUR,Puri International Airport,cty_b6ccbb3b,19.674684,86.00351,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_67dfc5a8,BAA,VBAA,Bhubaneswar International Airport,cty_7be8559f,20.425246,85.733101,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_32bc0ad3,GUW,VGUW,Guwahati International Airport,cty_cf1c6ac5,26.274499,91.810818,Asia/Kolkata,1,2026-08-18T10:00:00+05:30
apt_9d94084b,SAA,VSAA,Shillong International Airport,cty_590d4b7b,25.678854,91.850498,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_820adcc8,GAN,VGAN,Gangtok International Airport,cty_ccb4fb74,27.231187,88.747957,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_d354732d,COL,VCOL,Colombo International Airport,cty_a50bc5dd,7.006054,79.846833,Asia/Colombo,1,2026-08-18T10:00:00+05:30
apt_9e905c9f,KAN,VKAN,Kandy International Airport,cty_009c9fd2,7.233815,80.626283,Asia/Colombo,0,2026-08-18T10:00:00+05:30
apt_a0ef3f68,KAT,VKAT,Kathmandu International Airport,cty_c0f2d9de,27.63099,85.215402,Asia/Kathmandu,1,2026-08-18T10:00:00+05:30
apt_cef22fc7,POK,VPOK,Pokhara International Airport,cty_95d040d8,28.290983,83.901509,Asia/Kathmandu,1,2026-08-18T10:00:00+05:30
apt_906dd704,TAA,VTAA,Thimphu International Airport,cty_79cbc59b,27.377096,89.738685,Asia/Thimphu,0,2026-08-18T10:00:00+05:30
apt_308adc2f,MAL,VMAL,Male International Airport,cty_9aa02925,4.20615,73.575973,Indian/Maldives,0,2026-08-18T10:00:00+05:30
apt_9dd20d55,DUB,VDUB,Dubai International Airport,cty_7b89639e,25.26572,55.180703,Asia/Dubai,1,2026-08-18T10:00:00+05:30
apt_2f4a1726,ABU,VABU,Abu Dhabi International Airport,cty_1ced6ede,24.450692,54.547848,Asia/Dubai,1,2026-08-18T10:00:00+05:30
apt_321a094c,DOH,VDOH,Doha International Airport,cty_6320eea9,25.209198,51.36895,Asia/Qatar,1,2026-08-18T10:00:00+05:30
apt_ad38af67,SIN,VSIN,Singapore International Airport,cty_905fd8a1,1.29534,103.746657,Asia/Singapore,1,2026-08-18T10:00:00+05:30
apt_757e32fe,BAN,VBAN,Bangkok International Airport,cty_a5f16904,13.656283,100.48393,Asia/Bangkok,1,2026-08-18T10:00:00+05:30
apt_eb8717c7,KUA,VKUA,Kuala Lumpur International Airport,cty_c9f34ba7,3.073422,101.652298,Asia/Kuala_Lumpur,1,2026-08-18T10:00:00+05:30
apt_cb1113d2,BAL,VBAL,Bali International Airport,cty_36afaa5c,-8.470773,115.172857,Asia/Makassar,1,2026-08-18T10:00:00+05:30
apt_5f4fecd3,KYO,VKYO,Kyoto International Airport,cty_51a149b7,34.928567,135.674926,Asia/Tokyo,1,2026-08-18T10:00:00+05:30
apt_7c14a557,ZUR,VZUR,Zurich International Airport,cty_0b7f5985,47.342094,8.303185,Europe/Zurich,1,2026-08-18T10:00:00+05:30
apt_54ebca59,MUZ,VMUZ,Mumbai Domestic Terminal,cty_95e7c8ca,19.079455,72.647393,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_6be6a548,NEZ,VNEZ,New Delhi Domestic Terminal,cty_0b92e2e7,28.458037,77.25914,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_c1f65e85,KOZ,VKOZ,Kolkata Domestic Terminal,cty_ab50efee,22.708071,88.351308,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_5377e1f8,BEZ,VBEZ,Bengaluru Domestic Terminal,cty_17b8ef2f,13.120879,77.514229,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_e6c1d884,CHZ,VCHZ,Chennai Domestic Terminal,cty_f8b75f8e,13.149631,80.181922,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_c0496aae,HYZ,VHYZ,Hyderabad Domestic Terminal,cty_718f03c7,17.341913,78.527104,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_ebff6148,BAZ,VBAZ,Bangkok Domestic Terminal,cty_a5f16904,13.552585,100.39243,Asia/Bangkok,0,2026-08-18T10:00:00+05:30
apt_98416c9d,AHZ,VAHZ,Ahmedabad Domestic Terminal,cty_cfec17b6,22.804369,72.546493,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_e6d0e6bf,PUZ,VPUZ,Pune Domestic Terminal,cty_621f4a84,18.582451,73.945572,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_ceec186e,SIZ,VSIZ,Singapore Domestic Terminal,cty_905fd8a1,1.204232,103.666103,Asia/Singapore,0,2026-08-18T10:00:00+05:30
apt_33c2d61a,BAB,VBAB,Bali Domestic Terminal,cty_36afaa5c,-8.559844,115.389847,Asia/Makassar,0,2026-08-18T10:00:00+05:30
apt_3e80f233,JAZ,VJAZ,Jaipur Domestic Terminal,cty_c07454f1,26.696764,75.73457,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_86c2c516,DUZ,VDUZ,Dubai Domestic Terminal,cty_7b89639e,25.373979,55.462919,Asia/Dubai,0,2026-08-18T10:00:00+05:30
apt_496144db,LUZ,VLUZ,Lucknow Domestic Terminal,cty_5698a7ab,26.891893,81.137172,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_9a8714fa,VIZ,VVIZ,Visakhapatnam Domestic Terminal,cty_7cb0b529,17.900385,83.339244,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_ee6be440,KAA,VKAA,Kochi Domestic Terminal,cty_8b6b1652,9.732115,76.116919,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_c077a39a,KUZ,VKUZ,Kuala Lumpur Domestic Terminal,cty_c9f34ba7,3.041401,101.579758,Asia/Kuala_Lumpur,0,2026-08-18T10:00:00+05:30
apt_39dd101e,THZ,VTHZ,Thiruvananthapuram Domestic Terminal,cty_67ee7f6f,8.519542,77.108126,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_3e436764,AGZ,VAGZ,Agra Domestic Terminal,cty_b43cdd57,27.289695,78.079394,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
apt_b76a2e04,MAZ,VMAZ,Madurai Domestic Terminal,cty_3503e391,9.781391,77.900309,Asia/Kolkata,0,2026-08-18T10:00:00+05:30
